scenario,layer,iter_in_layer,global_iter,energy
Fake Backend,2,57,125,-0.18318408092403637
Fake Backend,2,58,126,-0.17283827593537424
Fake Backend,2,59,127,-0.1560396293934241
Fake Backend,2,60,128,-0.14633600836167815
Fake Backend,2,61,129,-0.16106637967687085
Fake Backend,2,62,130,-0.1637281214569162
Fake Backend,2,63,131,-0.16243489583333345
Fake Backend,2,64,132,-0.16488737422052166
Fake Backend,2,65,133,-0.17464303429705233
Fake Backend,2,66,134,-0.15076486323696156
Fake Backend,2,67,135,-0.16595804988662144
Fake Backend,2,68,136,-0.15155541383219967
Fake Backend,2,69,137,-0.16369711947278923
Fake Backend,2,70,138,-0.17530846974206357
Fake Backend,2,71,139,-0.17756497130102059
Fake Backend,2,72,140,-0.171412184665533
Fake Backend,2,73,141,-0.1617229574121316
Fake Backend,2,74,142,-0.17890137825963734
Fake Backend,2,75,143,-0.17529850481859421
Fake Backend,2,76,144,-0.1587932699121316
Fake Backend,2,77,145,-0.13774402990362822
Fake Backend,2,78,146,-0.16563585069444453
Fake Backend,2,79,147,-0.15541405364229038
Fake Backend,2,80,148,-0.1708585778061226
Fake Backend,2,81,149,-0.16498923788265324
Fake Backend,2,82,150,-0.1808611465419502
Fake Backend,2,83,151,-0.23611443275226768
Fake Backend,2,84,152,-0.17187942885487542
Fake Backend,2,85,153,-0.2794994951105443
Fake Backend,2,86,154,-0.2634526466836736
Fake Backend,2,87,155,-0.2625026573129254
Fake Backend,2,88,156,-0.2215202487244899
Fake Backend,2,89,157,-0.24177561649659876
Fake Backend,2,90,158,-0.24294704861111122
Fake Backend,2,91,159,-0.24230707908163274
Fake Backend,2,92,160,-0.19649611146541962
Fake Backend,2,93,161,-0.2513917676445579
Fake Backend,2,94,162,-0.1562433567176872
Fake Backend,2,95,163,-0.25071858170351485
Fake Backend,2,96,164,-0.21069723462301607
Fake Backend,2,97,165,-0.24996014030612257
Fake Backend,2,98,166,-0.22600224985827674
Fake Backend,2,99,167,-0.2502413725907031
Aer Noise Model,0,0,0,0.049260797535216984
Aer Noise Model,0,1,1,0.05850428669922484
Aer Noise Model,0,2,2,0.07823073918033116
Aer Noise Model,0,3,3,0.0581031176094969
Aer Noise Model,0,4,4,0.06100260178904802
Aer Noise Model,0,5,5,0.051219056029764974
Aer Noise Model,0,6,6,0.07689941113910982
Aer Noise Model,0,7,7,0.0646972307712737
Aer Noise Model,0,8,8,0.02086909271598654
Aer Noise Model,0,9,9,0.03258655015609615
Aer Noise Model,0,10,10,0.053696344325919604
Aer Noise Model,0,11,11,-0.07231225009932406
Aer Noise Model,0,12,12,-0.15790015371692853
Aer Noise Model,0,13,13,-0.1945304882974828
Aer Noise Model,0,14,14,-0.03585344988817079
Aer Noise Model,0,15,15,-0.17813512260280734
Aer Noise Model,0,16,16,-0.13888141884376998
Aer Noise Model,0,17,17,-0.17780644061756815
Aer Noise Model,0,18,18,-0.2063962399666228
Aer Noise Model,0,19,19,-0.18740351191721208
Aer Noise Model,1,0,20,-0.18181259814809297
Aer Noise Model,1,1,21,-0.20384093119922453
Aer Noise Model,1,2,22,-0.19335520119874872
Aer Noise Model,1,3,23,-0.22611881909100073
Aer Noise Model,1,4,24,-0.1558937549316132
Aer Noise Model,1,5,25,-0.25475841874084937
Aer Noise Model,1,6,26,-0.23687513072578972
Aer Noise Model,1,7,27,-0.25047282618920363
Aer Noise Model,1,8,28,-0.19515354539408092
Aer Noise Model,1,9,29,-0.26890889754307457
Aer Noise Model,1,10,30,-0.2567863976565086
Aer Noise Model,1,11,31,-0.2103697506332939
Aer Noise Model,1,12,32,-0.21967023347487702
Aer Noise Model,1,13,33,-0.24778028992628462
Aer Noise Model,1,14,34,-0.3288645863421016
Aer Noise Model,1,15,35,-0.2569640187293399
Aer Noise Model,1,16,36,-0.2673080945408911
Aer Noise Model,1,17,37,-0.27603532058666974
Aer Noise Model,1,18,38,-0.2671797204321783
Aer Noise Model,1,19,39,-0.27477869299663915
Aer Noise Model,1,20,40,-0.30590664767615205
Aer Noise Model,1,21,41,-0.2778474981988892
Aer Noise Model,1,22,42,-0.31325219204324006
Aer Noise Model,1,23,43,-0.28774724466002444
Aer Noise Model,1,24,44,-0.2628509676198446
Aer Noise Model,1,25,45,-0.28433481738229704
Aer Noise Model,1,26,46,-0.3146991674496382
Aer Noise Model,1,27,47,-0.32152402200509295
Aer Noise Model,1,28,48,-0.26092978268255423
Aer Noise Model,1,29,49,-0.2768011385455436
Aer Noise Model,1,30,50,-0.3059896481774751
Aer Noise Model,1,31,51,-0.2674984423572586
Aer Noise Model,1,32,52,-0.3022192120707076
Aer Noise Model,1,33,53,-0.2639133740367793
Aer Noise Model,1,34,54,-0.2934936460349555
Aer Noise Model,1,35,55,-0.25694409860902234
